name,price,piece_count,url,price_per_piece,age_range
Lucky Cat,29.99,280,https://www.lego.com/en-us/product/lucky-cat-40813,0.107,9+
Flower Arrangement,109.99,1161,https://www.lego.com/en-us/product/flower-arrangement-10345,0.095,18+
Tom & Jerry Figures,14.99,212,https://www.lego.com/en-us/product/tom--jerry-figures-40793,0.071,10+
Love Bears,14.99,287,https://www.lego.com/en-us/product/love-bears-40821,0.052,9+
Tudor Corner,229.99,3266,https://www.lego.com/en-us/product/tudor-corner-10350,0.07,18+
Typewriter with Flowers,29.99,363,https://www.lego.com/en-us/product/typewriter-with-flowers-31169,0.083,8+
The Endurance,269.99,3011,https://www.lego.com/en-us/product/the-endurance-10335,0.09,18+
Wild Animals: Panda Family,39.99,626,https://www.lego.com/en-us/product/wild-animals-panda-family-31165,0.064,8+
Mini Orchid,29.99,274,https://www.lego.com/en-us/product/mini-orchid-10343,0.109,18+
Lucky Bamboo,29.99,325,https://www.lego.com/en-us/product/lucky-bamboo-10344,0.092,18+
Donut Truck,19.99,196,https://www.lego.com/en-us/product/donut-truck-60452,0.102,5+
Sweetheart Tweety Bird,34.99,412,https://www.lego.com/en-us/product/sweetheart-tweety-bird-40824,0.085,12+
Ahsoka's Jedi Interceptor™,44.99,290,https://www.lego.com/en-us/product/ahsokas-jedi-interceptor-75401,0.155,8+
Blacktron Renegade,99.99,1151,https://www.lego.com/en-us/product/blacktron-renegade-10355,0.087,18+
Cute Bunny,19.99,326,https://www.lego.com/en-us/product/cute-bunny-31162,0.061,8+
Medieval Dragon,59.99,715,https://www.lego.com/en-us/product/medieval-dragon-31161,0.084,9+
No Limits: Race Car Ramp Track,49.99,436,https://www.lego.com/en-us/product/no-limits-race-car-ramp-track-60460,0.115,6+
Diagon Alley™ Wizarding Shops,199.99,2750,https://www.lego.com/en-us/product/diagon-alley-wizarding-shops-76444,0.073,18+
Stargazing with Celeste,9.99,78,https://www.lego.com/en-us/product/stargazing-with-celeste-77053,0.128,6+
Leonardo da Vinci's Flying Machine,49.99,493,https://www.lego.com/en-us/product/leonardo-da-vinci-s-flying-machine-10363,0.101,18+
Mario Kart™ – Standard Kart,19.99,174,https://www.lego.com/en-us/product/mario-kart--standard-kart-72032,0.115,7+
ARC-170 Starfighter™,69.99,497,https://www.lego.com/en-us/product/arc-170-starfighter-75402,0.141,9+
Playful Cat,24.99,407,https://www.lego.com/en-us/product/playful-cat-31163,0.061,8+
Grogu™ with Hover Pram,99.99,1048,https://www.lego.com/en-us/product/grogu-with-hover-pram-75403,0.095,10+
Holiday Adventure Camper Van,29.99,385,https://www.lego.com/en-us/product/holiday-adventure-camper-van-60454,0.078,6+
Diagon Alley™ Wizarding Shops,199.99,2750,https://www.lego.com/en-us/product/diagon-alley-wizarding-shops-76444,0.073,18+
Stargazing with Celeste,9.99,78,https://www.lego.com/en-us/product/stargazing-with-celeste-77053,0.128,6+
Leonardo da Vinci's Flying Machine,49.99,493,https://www.lego.com/en-us/product/leonardo-da-vinci-s-flying-machine-10363,0.101,18+
Mario Kart™ – Standard Kart,19.99,174,https://www.lego.com/en-us/product/mario-kart--standard-kart-72032,0.115,7+
ARC-170 Starfighter™,69.99,497,https://www.lego.com/en-us/product/arc-170-starfighter-75402,0.141,9+
Playful Cat,24.99,407,https://www.lego.com/en-us/product/playful-cat-31163,0.061,8+
Grogu™ with Hover Pram,99.99,1048,https://www.lego.com/en-us/product/grogu-with-hover-pram-75403,0.095,10+
Holiday Adventure Camper Van,29.99,385,https://www.lego.com/en-us/product/holiday-adventure-camper-van-60454,0.078,6+
EVE & WALL•E,14.99,155,https://www.lego.com/en-us/product/eve--walle-40619,0.097,10+
Spider-Man Mech vs. Anti-Venom,14.99,107,https://www.lego.com/en-us/product/spider-man-mech-vs-anti-venom-76308,0.14,6+
Off-Road 4x4 Mountain Truck,19.99,221,https://www.lego.com/en-us/product/off-road-4x4-mountain-truck-60447,0.09,6+
Stitch,9.99,152,https://www.lego.com/en-us/product/stitch-40674,0.066,10+
Red Sports Car,9.99,109,https://www.lego.com/en-us/product/red-sports-car-60448,0.092,5+
MARVEL Logo & Minifigures,99.99,931,https://www.lego.com/en-us/product/marvel-logo--minifigures-76313,0.107,12+
Eeyore,9.99,156,https://www.lego.com/en-us/product/eeyore-40797,0.064,10+
Fountain Garden,99.99,1302,https://www.lego.com/en-us/product/fountain-garden-10359,0.077,18+
Hagrid™ & Harry's Motorcycle Ride,49.99,617,https://www.lego.com/en-us/product/hagrid--harrys-motorcycle-ride-76443,0.081,9+
Series 27 6 Pack,29.94,52,https://www.lego.com/en-us/product/series-27-6-pack-66795,0.576,5+
Dinosaur Fossils: Triceratops Skull,44.99,468,https://www.lego.com/en-us/product/dinosaur-fossils-triceratops-skull-76969,0.096,9+
Dumbo,9.99,176,https://www.lego.com/en-us/product/dumbo-40792,0.057,10+
Good Fortune,89.99,1021,https://www.lego.com/en-us/product/good-fortune-80117,0.088,9+
Retro Radio,99.99,906,https://www.lego.com/en-us/product/retro-radio-10334,0.11,18+
Durrr Burger,14.99,193,https://www.lego.com/en-us/product/durrr-burger-77070,0.078,9+
Red Panda Mei,9.99,121,https://www.lego.com/en-us/product/red-panda-mei-40798,0.083,10+
Wild Animals: Surprising Spider,12.99,153,https://www.lego.com/en-us/product/wild-animals-surprising-spider-31159,0.085,7+
Pretty Pink Flower Bouquet,59.99,749,https://www.lego.com/en-us/product/pretty-pink-flower-bouquet-10342,0.08,18+
Batman™ Tumbler vs. Two-Face™ & The Joker™,59.99,429,https://www.lego.com/en-us/product/batman-tumbler-vs-two-face--the-joker-76303,0.14,8+
Iron Man Mech vs. Ultron,14.99,101,https://www.lego.com/en-us/product/iron-man-mech-vs-ultron-76307,0.148,6+
Superman™ Mech vs. Lex Luthor™,14.99,120,https://www.lego.com/en-us/product/superman-mech-vs-lex-luthor-76302,0.125,6+
Airplane vs. Hospital Bed Race Car Pack,9.99,70,https://www.lego.com/en-us/product/airplane-vs-hospital-bed-race-car-pack-60459,0.143,5+
Hogwarts™ Castle: Charms Class,19.99,204,https://www.lego.com/en-us/product/hogwarts-castle-charms-class-76442,0.098,8+
Malfoy Manor,149.99,1601,https://www.lego.com/en-us/product/malfoy-manor-76453,0.094,10+
Trotting Lantern,129.99,1295,https://www.lego.com/en-us/product/trotting-lantern-80116,0.1,9+
Aircraft: Race Plane,14.99,178,https://www.lego.com/en-us/product/aircraft-race-plane-31160,0.084,7+
Hogwarts™ Castle: Dueling Club,24.99,158,https://www.lego.com/en-us/product/hogwarts-castle-dueling-club-76441,0.158,8+
Twirling Ariel,9.99,93,https://www.lego.com/en-us/product/twirling-ariel-43259,0.107,5+
The Botanical Garden,329.99,3792,https://www.lego.com/en-us/product/the-botanical-garden-21353,0.087,18+
F1® Pit Stop & Pit Crew with Ferrari Car,29.99,322,https://www.lego.com/en-us/product/tbd-city-alicia-60443-60443,0.093,6+
Red Farm Tractor with Trailer & Sheep,19.99,116,https://www.lego.com/en-us/product/red-farm-tractor-with-trailer--sheep-60461,0.172,4+
Yellow Construction Wheel Loader,14.99,81,https://www.lego.com/en-us/product/yellow-construction-wheel-loader-60450,0.185,4+
Mario Kart™ – Yoshi Bike,14.99,133,https://www.lego.com/en-us/product/mario-kart--yoshi-bike-72031,0.113,7+
Potted Groot,9.99,113,https://www.lego.com/en-us/product/potted-groot-40671,0.088,10+
Backhoe Loader,9.99,104,https://www.lego.com/en-us/product/backhoe-loader-42197,0.096,7+
Spider-Verse: Miles Morales vs. The Spot,49.99,375,https://www.lego.com/en-us/product/spider-verse-miles-morales-vs-the-spot-76311,0.133,9+
Hogwarts™ Castle: Flying Lessons,79.99,651,https://www.lego.com/en-us/product/hogwarts-castle-flying-lessons-76447,0.123,9+
Space Robot,24.99,281,https://www.lego.com/en-us/product/space-robot-31164,0.089,8+
